mode,scenario,seed,policy,gain_fee_pips,mean_applied_fee_pips,lp_fee_revenue_quote_wad,lp_net_pnl_quote_wad,realized_adverse_markout_quote_wad,false_positive_rate_wad,false_negative_rate_wad,requested_notional_quote_wad,executed_notional_quote_wad,volume_lost_quote_wad,volume_retained_rate_wad,benign_volume_retained_rate_wad,toxic_volume_retained_rate_wad,retained_event_count,coverage_eligible_epochs,coverage_deficit_epochs,latest_coverage_ratio_wad
inelastic,conflicting_references,101,coverage_thetashield,450000,500,1740000000000000000,-1239715105534918860601,12452760024527599000,0,1000000000000000000,3480000000000000000000,3480000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,21,21,103228293867638140
inelastic,conflicting_references,211,thetashield,500000,500,1769500000000000000,-1200614051788898870537,11908117689081175700,0,1000000000000000000,3539000000000000000000,3539000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,conflicting_references,211,coverage_thetashield,450000,500,1769500000000000000,-1200614051788898870537,11908117689081175700,0,1000000000000000000,3539000000000000000000,3539000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,21,20,110452811244979930
inelastic,conflicting_references,307,thetashield,500000,500,1778000000000000000,-1539726094439101245909,11732435377324352600,0,1000000000000000000,3556000000000000000000,3556000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,conflicting_references,307,coverage_thetashield,450000,500,1778000000000000000,-1539726094439101245909,11732435377324352600,0,1000000000000000000,3556000000000000000000,3556000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,21,21,100626078028747443
inelastic,conflicting_references,401,thetashield,500000,500,1700500000000000000,-1503000116309213670721,12260279672602795500,0,1000000000000000000,3401000000000000000000,3401000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,conflicting_references,401,coverage_thetashield,450000,500,1700500000000000000,-1503000116309213670721,12260279672602795500,0,1000000000000000000,3401000000000000000000,3401000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,21,21,94966928618205641
inelastic,conflicting_references,503,thetashield,500000,500,1784000000000000000,-1373123224336934709678,12134896611348964900,0,1000000000000000000,3568000000000000000000,3568000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,conflicting_references,503,coverage_thetashield,450000,500,1784000000000000000,-1373123224336934709678,12134896611348964900,0,1000000000000000000,3568000000000000000000,3568000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,21,21,120832537229558876
inelastic,stale_references,101,thetashield,500000,638,2334279000000000000,-778708613581958854082,12906882229068821000,154761904761904761,647435897435897435,3675000000000000000000,3675000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,stale_references,101,coverage_thetashield,450000,636,2327626000000000000,-778715266581958854082,12906882229068821000,154761904761904761,647435897435897435,3675000000000000000000,3675000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,12,12,291819863980364111
inelastic,stale_references,211,thetashield,500000,670,2268589000000000000,-791323074476375659172,12220813222208131000,103896103896103896,631901840490797546,3419000000000000000000,3419000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,stale_references,211,coverage_thetashield,450000,668,2261741000000000000,-791329922476375659172,12220813222208131000,103896103896103896,631901840490797546,3419000000000000000000,3419000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,12,12,162928562768869785
inelastic,stale_references,307,thetashield,500000,627,2367219000000000000,-921665316297686134133,13749566757495666200,58823529411764705,674418604651162790,3688000000000000000000,3688000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,stale_references,307,coverage_thetashield,450000,626,2360889000000000000,-921671646297686134133,13749566757495666200,58823529411764705,674418604651162790,3688000000000000000000,3688000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,13,13,229215854791051099
